iter	Passed	Remaining
0	18	18686
1	29	14675
2	39	13104
3	46	11498
4	52	10351
5	59	9939
6	67	9595
7	74	9287
8	83	9230
9	92	9182
10	102	9175
11	112	9274
12	121	9253
13	130	9223
14	139	9190
15	148	9161
16	157	9126
17	166	9106
18	177	9162
19	187	9208
20	199	9294
21	210	9359
22	219	9333
23	229	9329
24	238	9308
25	247	9279
26	257	9278
27	267	9290
28	278	9324
29	289	9353
30	299	9357
31	309	9366
32	319	9361
33	329	9359
34	338	9333
35	347	9306
36	357	9314
37	367	9300
38	374	9226
39	381	9156
40	389	9116
41	399	9112
42	408	9088
43	417	9066
44	426	9051
45	435	9033
46	444	9016
47	453	8993
48	462	8973
49	471	8956
50	480	8938
51	489	8921
52	498	8908
53	507	8892
54	516	8880
55	527	8885
56	537	8894
57	548	8901
58	557	8890
59	567	8885
60	575	8865
61	584	8847
62	598	8899
63	609	8909
64	619	8910
65	629	8910
66	637	8879
67	647	8874
68	656	8860
69	668	8881
70	677	8864
71	687	8865
72	699	8876
73	706	8835
74	711	8779
75	717	8729
76	724	8683
77	730	8632
78	738	8615
79	743	8555
80	753	8544
81	761	8527
82	770	8511
83	776	8464
84	784	8447
85	789	8394
86	797	8368
87	802	8318
88	809	8287
89	817	8267
90	823	8227
91	831	8209
92	836	8161
93	842	8121
94	848	8085
95	856	8064
96	866	8064
97	874	8048
98	881	8020
99	888	7998
100	894	7960
101	899	7920
102	908	7909
103	914	7880
104	923	7875
105	933	7870
106	941	7860
107	951	7857
108	960	7850
109	969	7845
110	978	7838
111	987	7831
112	996	7824
113	1006	7818
114	1015	7812
115	1024	7807
116	1033	7802
117	1042	7795
118	1053	7797
119	1060	7774
120	1066	7747
121	1072	7715
122	1079	7698
123	1087	7680
124	1091	7643
125	1098	7623
126	1108	7620
127	1118	7621
128	1129	7625
129	1138	7616
130	1147	7610
131	1156	7606
132	1165	7598
133	1174	7591
134	1184	7587
135	1193	7583
136	1203	7582
137	1214	7587
138	1225	7589
139	1234	7583
140	1245	7590
141	1255	7588
142	1264	7580
143	1274	7573
144	1283	7565
145	1292	7558
146	1301	7549
147	1310	7542
148	1319	7534
149	1328	7528
150	1338	7528
151	1348	7520
152	1357	7513
153	1366	7504
154	1375	7497
155	1384	7489
156	1395	7495
157	1407	7502
158	1418	7500
159	1427	7493
160	1435	7482
161	1444	7469
162	1453	7463
163	1461	7452
164	1470	7443
165	1480	7438
166	1490	7432
167	1499	7425
168	1507	7411
169	1515	7398
170	1524	7391
171	1534	7389
172	1543	7379
173	1551	7366
174	1560	7355
175	1568	7343
